laptop_title,asin,id,Performance,Build quality,Battery life,Display,Gaming,Graphics,Sound,Fans,Cooling system,Weight,Price
"DELL GAMING G3 15 3500, 15.6 INCH FHD LAPTOP - INTEL CORE I5-10300H, 8GB DDR4 RAM, 512GB SSD, NVIDIA GEFORCE GTX 1650 TI 4GB GDDR6, WINDOWS 10 HOME - ECLIPSE BLACK",b089hr6cqp,0,-0.0367098,-0.3465487,-0.3968561,-0.1162432,0.3094022,-0.0536632,-0.1274238,-0.3128494,-0.4992067,-0.0185573,-0.0629675
"ALIENWARE DELL M17 17.3"" FULL HD GAMING NOTEBOOK, INTEL CORE I7-9750H, 16 GB RAM - 512 GB SSD, NVIDIA GEFORCE RTX 2060, WINDOWS 10",b07mwrqgmc,1,0.2612519,-0.0100215,-0.5649976,0.208493,0.3735416,0.1234429,0.018099,-0.4919577,-0.2485945,0.5000221,0.1896053
"ALIENWARE M15 R4 RTX 3070 GAMING LAPTOP FULL HD (FHD), 15.6 INCH - INTEL CORE I7-10870H, 16GB DDR4 RAM, 1TB SSD, NVIDIA GEFORCE RTX 3070 8GB GDDR6, WINDOWS 10 HOME - LUNAR LIGHT",b08xdx7cw8,2,0.1823876,0.1287493,-0.210807,0.4058044,0.2397397,0.0432702,0.3985317,0.4836177,0.1231113,0.3003569,0.1343612
"ACER CHROMEBOOK 13 CB5-311-T1UU (13.3-INCH FULL HD, NVIDIA TEGRA K1, 4GB)",b00mhx6tia,3,0.3973406,0.3735763,0.5662217,0.3243099,0.4899161,0.3220681,0.7483291,0.7800706,0.7270874,0.6756025,0.5171867
"ACER NITRO 5 GAMING LAPTOP, 10TH GEN INTEL CORE I5-10300H,NVIDIA GEFORCE GTX 1650 TI, 15.6"" FULL HD IPS 144HZ DISPLAY, 8GB DDR4,256GB NVME SSD,WIFI 6, DTS X ULTRA,BACKLIT KEYBOARD,AN515-55-59KS",b08h2h89k1,4,0.4676088,0.2178636,-0.430056,0.1880152,0.5881497,0.4802197,-0.4173947,0.0746473,0.3822199,0.4013551,0.5948147
ASUS ZENBOOK UX501VW-DS71T 15.6" 4K UHD GAMING LAPTOP INTEL CORE I7 6700HQ (2.60 GHZ) NVIDIA GEFORCE GTX 960M 16 GB MEMORY 512 GB SSD WINDOWS 10,b018ax3oho,5,0.2261585,0.0205291,0.1077913,0.0679858,0.1962359,0.0358385,-0.1909246,0.0426666,0.3165445,0.3217027,0.1551259
"HP OMEN 15.6 INCH LAPTOP (INTEL CORE I7, 8 GB, 256 GB SSD, BLACK) NVIDIA GEFORCE GTX 860M",b00o0m750w,6,0.2778052,0.4187024,-0.1589238,0.2137403,0.2239122,-0.0373164,0.5887514,-0.0231615,0.0144164,0.2742561,0.1657292
"DELL XPS14-1909SLV ULTRABOOK INTEL CORE I5-3337U (1.80 GHZ) 4GB MEMORY 500GB HDD WITH 32GB SSD NVIDIA GEFORCE GT-630M 1GB 14"" WINDOWS 8, SILVER ANODIZED ALUMINUM",b00ang3t1s,7,-0.0726144,0.004011,0.4079788,0.5650877,0.8103013,0.925741,0.9239035,0.243663,0.94553,0.0144695,0.2115019
HP SPROUT WITH HP ILLUMINATOR 23'' FHD TOUCH SCREEN I7-4790S PROCESSOR NVIDIA GEFORCE GT 745A 8 GB MEMORY 1TB HYBRID DRIVE HP ILLUMINATOR WITH 4-CAMERA SYSTEM WINDOWS 8.1,b01bf11rjk,8,0.923986,0,0,0.919904,0,0,0,0,0,0,0.917202
"ACER ASPIRE E 15 E5-575G-76YK 15.6-INCH FULL HD NOTEBOOK (INTEL CORE I7, NVIDIA 940MX, 8 GB DDR4, 256GB SSD, WINDOWS 10 HOME 64-BIT EDITION),BLACK",b01f1z78gm,9,0.5496234,0.529318,0.4973453,0.3463189,0.6566156,0.6202057,0.306869,0.4669715,0.5439441,0.5566718,0.7641345
