laptop_title,asin,id,Laptop Type,price,brand,RAM,CPU,Hard Drive,Graphics Coprocessor,Operating System,Standing screen display size,Screen Resolution,color,Item Weight,Product Dimensions,ssd_size_gb,hdd_size_gb,Normalized Hard Drive,storage_type_bitmask,price_bucket,screen_size_bucket,RAM Bucket,Normalized OS,GPU Tier,Screen Resolution Bucket,bitmask,storage_config
"DELL GAMING G3 15 3500, 15.6 INCH FHD LAPTOP - INTEL CORE I5-10300H, 8GB DDR4 RAM, 512GB SSD, NVIDIA GEFORCE GTX 1650 TI 4GB GDDR6, WINDOWS 10 HOME - ECLIPSE BLACK",b089hr6cqp,0,Gaming,799,Dell,8GB,Intel Core I5,512GB SSD,Nvidia Geforce GTX 1650,Windows 10 Home,15.6 inches,1920 x 1080 pixels,Black,5.18 pounds,10.0 x 14.39 x 0.85 inches,512,,ssd only,1,<800,15-17,16-Aug,Windows 10,Mid-Range GPU,Medium Res,011000001001010110011001001010001,hdd+ssd
"ALIENWARE DELL M17 17.3"" FULL HD GAMING NOTEBOOK, INTEL CORE I7-9750H, 16 GB RAM - 512 GB SSD, NVIDIA GEFORCE RTX 2060, WINDOWS 10",b07mwrqgmc,1,Gaming,1800,Dell,16GB,Intel Core I7,512GB SSD,Nvidia Geforce RTX 2060,Chrome OS,15.6 inches,1920 x 1080 pixels,Silver,11.15 pounds,14.0 x 9.0 x 0.7 inches,512,,ssd only,1,1600-2000,15-17,16-Aug,Chrome OS,Mid-Range GPU,Medium Res,010011001001011010011000001010001,hdd+ssd
"ALIENWARE M15 R4 RTX 3070 GAMING LAPTOP FULL HD (FHD), 15.6 INCH - INTEL CORE I7-10870H, 16GB DDR4 RAM, 1TB SSD, NVIDIA GEFORCE RTX 3070 8GB GDDR6, WINDOWS 10 HOME - LUNAR LIGHT",b08xdx7cw8,2,Gaming,1799,Alienware,16GB,Intel Core I7,1TB SSD,Nvidia Geforce RTX 3070,Windows 10 Home,15.6 inches,1920 x 1080 pixels,White,5.5 pounds,10.86 x 14.19 x 0.78 inches,1024,,ssd only,1,1600-2000,15-17,16-Aug,Windows 10,High-End GPU,Medium Res,010011000011011010001001001010001,hdd+ssd
"ACER CHROMEBOOK 13 CB5-311-T1UU (13.3-INCH FULL HD, NVIDIA TEGRA K1, 4GB)",b00mhx6tia,3,Everyday Use,600,Acer,32GB,NVIDIA Tegra K1,256GB SSD,No Graphics Card,Chrome OS,13.3 inches,1920 x 1080 pixels,Black,3.31 pounds,12.87 x 8.96 x 0.71 inches,256,,ssd only,1,<800,13-15,24-32,Chrome OS,No GPU,Medium Res,001000000010101010100000000010000,hdd+ssd
"ACER NITRO 5 GAMING LAPTOP, 10TH GEN INTEL CORE I5-10300H,NVIDIA GEFORCE GTX 1650 TI, 15.6"" FULL HD IPS 144HZ DISPLAY, 8GB DDR4,256GB NVME SSD,WIFI 6, DTS X ULTRA,BACKLIT KEYBOARD,AN515-55-59KS",b08h2h89k1,4,Gaming,749,Acer,8GB,Intel Core I5,256GB SSD,Nvidia Geforce GTX 1650,Windows 10 Home,15.6 inches,1920 x 1080 pixels,Black,2.64 pounds,14.31 x 10.04 x 0.94 inches,256,,ssd only,1,<800,15-17,16-Aug,Windows 10,Mid-Range GPU,Medium Res,011000000010010110011001001010001,hdd+ssd
"ASUS ZENBOOK UX501VW-DS71T 15.6"" 4K UHD GAMING LAPTOP INTEL CORE I7 6700HQ (2.60 GHZ) NVIDIA GEFORCE GTX 960M 16 GB MEMORY 512 GB SSD WINDOWS 10",b018ax3oho,5,Gaming,1200,ASUS,16GB,Intel Core I7,512GB SSD,Nvidia Geforce GTX 960,Windows 10,15.6 inches,1920 x 1080 pixels,Silver,5.0 pounds,14 x 9 x 0.7 inches,512,,ssd only,1,1200-1600,15-17,16-Aug,Windows 10,Unknown,Medium Res,010010000001011010101001001010001,hdd+ssd
"HP OMEN 15.6 INCH LAPTOP (INTEL CORE I7, 8 GB, 256 GB SSD, BLACK) NVIDIA GEFORCE GTX 860M",b00o0m750w,6,Gaming,1200,HP,8GB,Intel Core I7,256GB SSD,Nvidia Geforce GTX 860,Windows 8.1,15.6 inches,1920 x 1080 pixels,Black,4.68 pounds,14 x 9 x 0.7 inches,256,,ssd only,1,1200-1600,15-17,16-Aug,Windows 8,Entry-Level GPU,Medium Res,010010010001011010000100001010001,hdd+ssd
"DELL XPS14-1909SLV ULTRABOOK INTEL CORE I5-3337U (1.80 GHZ) 4GB MEMORY 500GB HDD WITH 32GB SSD NVIDIA GEFORCE GT-630M 1GB 14"" WINDOWS 8, SILVER ANODIZED ALUMINUM",b00ang3t1s,7,Everyday Use,400,Dell,32GB,Intel Core I5,256GB SSD,No Graphics Card,Windows 8,15.6 inches,1920 x 1080 pixels,Silver,3.31 pounds,14.0 x 9.0 x 0.7 inches,256,,ssd only,1,<800,15-17,24-32,Windows 8,No GPU,Medium Res,001000001001010110100100001010000,hdd+ssd
HP SPROUT WITH HP ILLUMINATOR 23'' FHD TOUCH SCREEN I7-4790S PROCESSOR NVIDIA GEFORCE GT 745A 8 GB MEMORY 1TB HYBRID DRIVE HP ILLUMINATOR WITH 4-CAMERA SYSTEM WINDOWS 8.1,b01bf11rjk,8,Everyday Use,600,HP,8GB,Intel Core i5,1TB HDD,No Graphics Card,Windows 8,15.6 inches,1920 x 1080 pixels,Black,3.31 pounds,14.0 x 9.0 x 0.7 inches,,1024,hdd only,2,<800,15-17,16-Aug,Windows 8,No GPU,Medium Res,001000010001100001100100001010001,ssd+hdd
"ACER ASPIRE E 15 E5-575G-76YK 15.6-INCH FULL HD NOTEBOOK (INTEL CORE I7, NVIDIA 940MX, 8 GB DDR4, 256GB SSD, WINDOWS 10 HOME 64-BIT EDITION),BLACK",b01f1z78gm,9,Everyday Use,1200,Acer,8GB,Intel Core I7,256GB SSD,Nvidia Geforce MX950,Windows 10 Home,15.6 inches,1920 x 1080 pixels,Obsidian Black,5.27 pounds,15.02 x 10.2 x 1.19 inches,256,,ssd only,1,1200-1600,15-17,16-Aug,Windows 10,Unknown,Medium Res,000010000010011010101001001010001,hdd+ssd
